Function: get_partitions took 3.24249267578125e-05 seconds
Function: map_flows_partitions took 1.8835067749023438e-05 seconds
Function: map_flows_to_cluster took 0.00011229515075683594 seconds
Building model with:
51 devices, 20 partitions and 40 flows
Function: MIP.add_frac_mem_var took 0.0009148120880126953 seconds
Function: MIP.add_coverage_constraints took 0.000438690185546875 seconds
Function: MIP.add_accuracy_constraints took 0.0025069713592529297 seconds
Function: MIP.add_capacity_constraints took 0.07581233978271484 seconds
Netmon behaving like UnivmonGreedyRows
--------------------------------------------------
Starting model update
Model update took: 0.0002732276916503906 s
--------------------------------------------------
Starting model optimize
Model optimize took: 0.05680680274963379 seconds
--------------------------------------------------

VARIABLES ------------------------------
Objective: 0.0
frac[41,13] 0
frac[40,3] 0
frac[12,1] 0
frac[41,2] 0
frac[24,17] 0.3
frac[48,1] 0
frac[27,17] 0
frac[47,9] 0
frac[46,3] 0
frac[3,7] 0
frac[8,5] 0
frac[23,7] 0
frac[50,11] 0
frac[30,13] 0
frac[28,5] 0
frac[33,3] 0
frac[5,5] 0
frac[4,19] 0
frac[11,5] 0
frac[34,8] 0
frac[31,5] 0.1
frac[6,10] 0
frac[12,6] 0
frac[7,19] 0
frac[20,9] 0
frac[43,14] 0.7
frac[15,4] 0
frac[39,11] 0
frac[43,19] 0.10185
frac[50,1] 0
frac[29,17] 0.7
frac[45,12] 0
frac[50,12] 0
frac[10,13] 0
frac[18,10] 0
frac[43,13] 0
frac[49,5] 0
frac[17,18] 0
frac[3,12] 0
frac[50,2] 0
frac[49,10] 0
frac[50,17] 0
frac[8,18] 0
frac[9,19] 0
frac[14,8] 0
frac[38,5] 0
frac[13,0] 0
frac[37,3] 0.1
frac[19,8] 0
frac[42,5] 0
frac[25,5] 0
frac[46,7] 0
frac[45,5] 0
frac[44,19] 0.00185
frac[50,7] 0.7
frac[23,3] 0
frac[32,6] 0.9
frac[50,18] 0
frac[23,12] 0
frac[35,4] 1
frac[41,12] 0
frac[6,14] 0
frac[16,10] 0
frac[7,15] 0
frac[13,3] 0
frac[24,18] 0
frac[18,5] 0
frac[42,6] 0
frac[44,5] 0
frac[0,11] 0
frac[47,8] 0
frac[2,2] 0
frac[50,8] 0
frac[47,5] 0
frac[33,2] 0.8
frac[5,4] 0
frac[34,9] 0
frac[12,7] 0
frac[17,1] 0
frac[15,7] 0
frac[39,10] 0
frac[13,19] 0
frac[49,14] 0.2
frac[48,18] 0
frac[9,13] 0
frac[50,13] 0
frac[40,11] 0
frac[31,14] 0
frac[4,17] 0
frac[34,10] 0
frac[7,17] 0
frac[18,11] 0
frac[39,9] 0
frac[28,18] 0
frac[1,3] 0
frac[50,3] 0.9
frac[49,9] 0.9
frac[22,13] 0
frac[26,14] 0
frac[45,14] 0
frac[27,15] 1
frac[43,17] 0
frac[50,14] 0
frac[29,19] 0
frac[8,19] 0
frac[31,13] 0.1
frac[29,13] 0
frac[11,14] 0
frac[9,18] 0
frac[14,9] 0
frac[19,11] 0
frac[25,4] 0
frac[42,17] 0
frac[44,12] 0
frac[50,4] 0
frac[32,7] 0
frac[2,13] 0
frac[50,19] 0.7963
frac[35,7] 0
frac[6,15] 0
frac[11,13] 0
frac[7,14] 0
frac[14,10] 0
frac[13,2] 0
frac[24,19] 0.10185
frac[48,3] 0
frac[38,10] 0
frac[37,18] 1
frac[27,19] 0
frac[42,18] 0
frac[46,1] 0
frac[45,7] 0
frac[44,17] 0
frac[50,9] 0
frac[47,4] 0
frac[33,1] 0
frac[11,7] 0
frac[36,10] 0
frac[31,7] 0.1
frac[41,3] 0
frac[7,13] 0
frac[20,11] 0
frac[26,10] 0
frac[0,9] 0
frac[46,2] 0.1
frac[9,12] 0
frac[50,10] 1
frac[32,1] 1
frac[5,6] 0
frac[4,18] 0
frac[17,3] 0
frac[43,15] 0
frac[15,5] 0
frac[39,8] 0
frac[28,19] 0
frac[26,15] 0
frac[49,8] 0.7
frac[22,2] 0
frac[29,18] 0.9
frac[3,3] 0
frac[45,13] 0.7
frac[27,14] 0
frac[40,9] 0
frac[31,12] 0.9
frac[29,12] 0
frac[9,17] 0
frac[37,1] 0
frac[19,10] 0
frac[38,14] 0
frac[43,10] 0
frac[48,10] 0
frac[44,13] 0
frac[50,5] 0.9
frac[49,11] 0.9
frac[27,13] 0
frac[11,12] 0
frac[41,7] 0
frac[13,1] 0
frac[19,9] 0
frac[42,4] 0
frac[38,11] 0
frac[46,19] 0
frac[18,14] 0
frac[25,6] 0
frac[42,19] 0
frac[47,10] 0
frac[21,3] 0
frac[46,6] 0
frac[44,18] 0
frac[50,6] 0
frac[33,19] 0
frac[47,7] 0
frac[33,0] 0.9
frac[35,5] 0
